"XSC","XTE","XSL","XPH","XHE","XAG","XEN","XCI","XAD","XDR","YEA","x","average","y"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2060/01/01","350","372.8609","329"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2060/01/01","370","372.8609","6726"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2060/01/01","390","372.8609","2671"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2060/01/01","410","372.8609","243"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2060/01/01","430","372.8609","19"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2060/01/01","450","372.8609","12"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2070/01/01","350","380.8216","131"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2070/01/01","370","380.8216","4594"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2070/01/01","390","380.8216","3904"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2070/01/01","410","380.8216","1065"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2070/01/01","430","380.8216","272"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2070/01/01","450","380.8216","10"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2070/01/01","470","380.8216","12"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2070/01/01","490","380.8216","12"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2080/01/01","350","387.8563","116"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2080/01/01","370","387.8563","2875"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2080/01/01","390","387.8563","3930"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2080/01/01","410","387.8563","2304"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2080/01/01","430","387.8563","465"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2080/01/01","450","387.8563","254"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2080/01/01","470","387.8563","25"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2080/01/01","490","387.8563","31"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2090/01/01","330","393.9743","1"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2090/01/01","350","393.9743","115"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2090/01/01","370","393.9743","2254"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2090/01/01","390","393.9743","3663"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2090/01/01","410","393.9743","2218"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2090/01/01","430","393.9743","1090"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2090/01/01","450","393.9743","349"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2090/01/01","470","393.9743","205"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2090/01/01","490","393.9743","105"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2100/01/01","330","399.2475","1"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2100/01/01","350","399.2475","122"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2100/01/01","370","399.2475","1832"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2100/01/01","390","399.2475","3161"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2100/01/01","410","399.2475","2158"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2100/01/01","430","399.2475","1626"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2100/01/01","450","399.2475","530"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2100/01/01","470","399.2475","263"
"RFF-SPs","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2100/01/01","490","399.2475","307"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2020/01/01","330","333.4058","10000"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2030/01/01","350","344.128","10000"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2040/01/01","350","354.4304","9705"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2040/01/01","370","354.4304","295"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2050/01/01","350","364.0326","2057"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2050/01/01","370","364.0326","7699"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2050/01/01","390","364.0326","228"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2050/01/01","410","364.0326","16"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2060/01/01","350","372.8609","329"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2060/01/01","370","372.8609","6726"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2060/01/01","390","372.8609","2671"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2060/01/01","410","372.8609","243"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2060/01/01","430","372.8609","19"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2060/01/01","450","372.8609","12"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2070/01/01","350","380.8216","131"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2070/01/01","370","380.8216","4594"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2070/01/01","390","380.8216","3904"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2070/01/01","410","380.8216","1065"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2070/01/01","430","380.8216","272"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2070/01/01","450","380.8216","10"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2070/01/01","470","380.8216","12"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2070/01/01","490","380.8216","12"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2080/01/01","350","387.8563","116"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2080/01/01","370","387.8563","2875"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2080/01/01","390","387.8563","3930"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2080/01/01","410","387.8563","2304"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2080/01/01","430","387.8563","465"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2080/01/01","450","387.8563","254"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2080/01/01","470","387.8563","25"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2080/01/01","490","387.8563","31"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2090/01/01","330","393.9743","1"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2090/01/01","350","393.9743","115"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2090/01/01","370","393.9743","2254"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2090/01/01","390","393.9743","3663"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2090/01/01","410","393.9743","2218"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2090/01/01","430","393.9743","1090"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2090/01/01","450","393.9743","349"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2090/01/01","470","393.9743","205"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2090/01/01","490","393.9743","105"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2100/01/01","330","399.2475","1"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2100/01/01","350","399.2475","122"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2100/01/01","370","399.2475","1832"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2100/01/01","390","399.2475","3161"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2100/01/01","410","399.2475","2158"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2100/01/01","430","399.2475","1626"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2100/01/01","450","399.2475","530"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2100/01/01","470","399.2475","263"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","2%","2100/01/01","490","399.2475","307"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2020/01/01","330","333.4058","10000"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2030/01/01","350","344.128","10000"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2040/01/01","350","354.4304","9705"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2040/01/01","370","354.4304","295"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2050/01/01","350","364.0326","2057"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2050/01/01","370","364.0326","7699"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2050/01/01","390","364.0326","228"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2050/01/01","410","364.0326","16"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2060/01/01","350","372.8609","329"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2060/01/01","370","372.8609","6726"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2060/01/01","390","372.8609","2671"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2060/01/01","410","372.8609","243"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2060/01/01","430","372.8609","19"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2060/01/01","450","372.8609","12"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2070/01/01","350","380.8216","131"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2070/01/01","370","380.8216","4594"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2070/01/01","390","380.8216","3904"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2070/01/01","410","380.8216","1065"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2070/01/01","430","380.8216","272"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2070/01/01","450","380.8216","10"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2070/01/01","470","380.8216","12"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2070/01/01","490","380.8216","12"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2080/01/01","350","387.8563","116"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2080/01/01","370","387.8563","2875"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2080/01/01","390","387.8563","3930"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2080/01/01","410","387.8563","2304"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2080/01/01","430","387.8563","465"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2080/01/01","450","387.8563","254"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2080/01/01","470","387.8563","25"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2080/01/01","490","387.8563","31"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2090/01/01","330","393.9743","1"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2090/01/01","350","393.9743","115"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2090/01/01","370","393.9743","2254"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2090/01/01","390","393.9743","3663"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2090/01/01","410","393.9743","2218"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2090/01/01","430","393.9743","1090"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2090/01/01","450","393.9743","349"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2090/01/01","470","393.9743","205"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2090/01/01","490","393.9743","105"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2100/01/01","330","399.2475","1"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2100/01/01","350","399.2475","122"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2100/01/01","370","399.2475","1832"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2100/01/01","390","399.2475","3161"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2100/01/01","410","399.2475","2158"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2100/01/01","430","399.2475","1626"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2100/01/01","450","399.2475","530"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2100/01/01","470","399.2475","263"
"RFF-SPs","FAIR","BRICK","Fung","","","","","DICE","3%","2100/01/01","490","399.2475","307"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2020/01/01","330","333.0764","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2030/01/01","350","341.2971","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2040/01/01","350","347.5939","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2050/01/01","350","352.7958","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2060/01/01","350","357.3448","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2070/01/01","370","361.462","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2080/01/01","370","365.3783","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2090/01/01","370","369.431","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2100/01/01","370","373.361","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","3%","2020/01/01","330","333.0764","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","3%","2030/01/01","350","341.2971","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","3%","2040/01/01","350","347.5939","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","3%","2050/01/01","350","352.7958","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","3%","2060/01/01","350","357.3448","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","3%","2070/01/01","370","361.462","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","3%","2080/01/01","370","365.3783","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","3%","2090/01/01","370","369.431","10000"
"SSP1","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","3%","2100/01/01","370","373.361","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","2%","2020/01/01","330","333.0764","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","2%","2030/01/01","350","341.2971","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","2%","2040/01/01","350","347.5939","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","2%","2050/01/01","350","352.7958","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","2%","2060/01/01","350","357.3448","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","2%","2070/01/01","370","361.462","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","2%","2080/01/01","370","365.3783","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","2%","2090/01/01","370","369.431","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","2%","2100/01/01","370","373.361","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2020/01/01","330","333.0764","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2030/01/01","350","341.2971","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2040/01/01","350","347.5939","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2050/01/01","350","352.7958","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2060/01/01","350","357.3448","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2070/01/01","370","361.462","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2080/01/01","370","365.3783","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2090/01/01","370","369.431","10000"
"SSP1","FAIR","BRICK","Fung","","","","","Howard & Sterner","3%","2100/01/01","370","373.361","10000"
"SSP1","FAIR","BRICK","Fung","","","","","DICE","2%","2020/01/01","330","333.0764","10000"
"SSP1","FAIR","BRICK","Fung","","","","","DICE","2%","2030/01/01","350","341.2971","10000"
"SSP1","FAIR","BRICK","Fung","","","","","DICE","2%","2040/01/01","350","347.5939","10000"
"SSP1","FAIR","BRICK","Fung","","","","","DICE","2%","2050/01/01","350","352.7958","10000"
"SSP1","FAIR","BRICK","Fung","","","","","DICE","2%","2060/01/01","350","357.3448","10000"
"SSP1","FAIR","BRICK","Fung","","","","","DICE","2%","2070/01/01","370","361.462","10000"
"SSP1","FAIR","BRICK","Fung","","","","","DICE","2%","2080/01/01","370","365.3783","10000"
"SSP1","FAIR","BRICK","Fung","","","","","DICE","2%","2090/01/01","370","369.431","10000"
